City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bontang,0.13,117.5,84.56,66,12,7.31,ID,1598242083
Mount Gambier,-37.83,140.77,51.8,66,90,5.82,AU,1598242128
Ushuaia,-54.8,-68.3,32.0,90,40,5.82,AR,1598242120
San Jerónimo,-11.95,-75.28,47.19,62,11,3.71,PE,1598242320
Guangzhou,23.12,113.25,93.0,55,40,4.47,CN,1598242131
Kahului,20.89,-156.47,87.8,52,40,24.16,US,1598242159
Kapaa,22.08,-159.32,84.2,70,40,10.29,US,1598242139
Airai,-8.93,125.41,76.66,36,0,7.74,TL,1598242136
Kiruna,67.86,20.23,46.4,81,39,4.7,SE,1598242320
Mercedes,-34.65,-59.43,54.0,69,0,4.0,AR,1598242320
Lieksa,63.32,30.02,57.87,87,91,10.74,FI,1598242321
Cherskiy,68.75,161.3,39.4,92,100,8.28,RU,1598242135
Zaysan,47.47,84.87,77.56,23,81,4.79,KZ,1598242321
Torbat-e Jām,35.24,60.62,76.12,33,0,11.86,IR,1598242321
Rikitea,-23.12,-134.97,71.49,83,9,18.07,PF,1598242120
Castro,-24.79,-50.01,49.01,87,65,14.79,BR,1598242148
Bredasdorp,-34.53,20.04,55.4,93,100,1.12,ZA,1598242127
Nurlat,54.43,50.81,60.4,86,24,5.1,RU,1598242322
Valparaíso,-33.04,-71.63,54.0,63,100,12.91,CL,1598242322
Norman Wells,65.28,-126.83,68.0,45,20,10.29,CA,1598242126
New Norfolk,-42.78,147.06,50.0,82,94,3.0,AU,1598242322
Bluff,-46.6,168.33,57.0,77,60,8.01,NZ,1598242123
Butaritari,3.07,172.79,82.69,76,99,12.46,KI,1598242120
Mossamedes,-15.2,12.15,63.43,92,97,2.26,AO,1598242167
Miandrivazo,-19.52,45.47,70.14,63,0,2.19,MG,1598242322
Longyearbyen,78.22,15.64,37.63,77,52,4.68,SJ,1598242146
East Wenatchee Bench,47.43,-120.28,77.0,36,1,8.05,US,1598242323
Barrow,71.29,-156.79,46.4,75,1,9.17,US,1598242121
Saint Paul Harbor,57.79,-152.41,59.0,82,90,3.36,US,1598242138
Husavik,66.04,-17.34,37.4,93,100,4.7,IS,1598242323
Hermanus,-34.42,19.23,53.01,90,100,7.0,ZA,1598242131
Dunedin,-45.87,170.5,53.01,86,91,5.23,NZ,1598242147
Chernyshevskiy,63.01,112.47,61.05,34,0,7.14,RU,1598242323
Busselton,-33.65,115.33,64.0,45,4,3.18,AU,1598242125
Sinnamary,5.38,-52.95,78.58,88,16,8.7,GF,1598242324
Atuona,-9.8,-139.03,78.3,78,4,17.69,PF,1598242119
Yenotayevka,47.25,47.03,66.99,92,0,8.79,RU,1598242324
Punta Arenas,-53.15,-70.92,32.0,82,10,10.29,CL,1598242324
Chicama,-7.84,-79.15,59.25,86,14,4.83,PE,1598242135
Hobart,-42.88,147.33,50.0,70,75,11.41,AU,1598242128
Pevek,69.7,170.31,38.08,96,100,2.98,RU,1598242139
Nanortalik,60.14,-45.24,42.1,87,30,7.29,GL,1598242130
Dārāb,28.75,54.54,84.43,42,51,1.21,IR,1598242324
Lompoc,34.64,-120.46,69.01,82,1,5.82,US,1598242325
Arraial do Cabo,-22.97,-42.03,67.05,61,9,8.32,BR,1598242127
Buala,-8.14,159.59,84.61,71,58,6.13,SB,1598242125
Schmölln,50.9,12.37,57.99,71,13,6.93,DE,1598242325
Mataura,-46.19,168.86,57.0,77,59,8.01,NZ,1598242121
Ribeira Grande,38.52,-28.7,73.02,89,2,14.07,PT,1598242131
Isangel,-19.55,169.27,82.6,74,20,6.11,VU,1598242135
Itarema,-2.92,-39.92,76.78,80,48,15.12,BR,1598242145
Vaini,-21.2,-175.2,80.6,78,20,11.41,TO,1598242124
Touho,-20.78,165.23,75.18,78,37,10.74,NC,1598242325
Egvekinot,66.32,-179.17,51.42,76,71,5.41,RU,1598242326
Hasaki,35.73,140.83,91.99,66,40,12.75,JP,1598242129
San Rafael del Sur,11.85,-86.44,78.8,83,40,4.7,NI,1598242326
Jamestown,42.1,-79.24,66.99,93,1,4.7,US,1598241909
Luís Correia,-2.88,-41.67,76.59,80,63,12.97,BR,1598242167
Nome,64.5,-165.41,53.6,76,90,9.17,US,1598242326
Puerto Ayora,-0.74,-90.35,66.0,88,23,1.99,EC,1598242122
Nantucket,41.28,-70.1,69.8,94,20,6.93,US,1598242135
Pangnirtung,66.15,-65.71,45.16,80,100,2.24,CA,1598242124
Lagunas,-5.23,-75.68,69.35,84,0,1.72,PE,1598242326
Vanavara,60.34,102.28,66.22,42,49,7.76,RU,1598242327
San Patricio,19.22,-104.7,80.62,83,92,1.54,MX,1598242128
Capâo Bonito,-24.01,-48.35,53.51,86,62,9.01,BR,1598242327
Batticaloa,7.71,81.69,85.59,60,59,5.55,LK,1598242327
Camacha,33.08,-16.33,71.6,83,40,14.99,PT,1598242327
Albany,42.6,-73.97,69.01,91,54,1.39,US,1598242121
Qaanaaq,77.48,-69.36,36.39,89,100,0.27,GL,1598242307
Ambon City,-3.7,128.18,84.2,70,40,6.93,ID,1598242327
Samarai,-10.62,150.67,76.57,80,100,17.58,PG,1598242134
Marawi,8.0,124.29,86.0,76,81,7.0,PH,1598242328
Tuktoyaktuk,69.45,-133.04,64.4,72,75,4.7,CA,1598242135
Mitsamiouli,-11.38,43.28,69.8,77,20,8.05,KM,1598242155
Flinders,-34.58,150.86,64.99,39,0,7.0,AU,1598242328
Katangli,51.71,143.23,59.77,79,89,14.34,RU,1598242328
Assiniboia,49.63,-105.98,70.43,31,3,9.46,CA,1598242055
Phanom Sarakham,13.75,101.36,93.99,65,8,5.79,TH,1598242328
East London,-33.02,27.91,51.8,87,100,5.82,ZA,1598242138
Menongue,-14.66,17.69,53.29,45,8,4.9,AO,1598242176
Port Alfred,-33.59,26.89,57.49,82,89,10.92,ZA,1598242129
Korhogo,9.45,-5.63,69.06,95,37,6.91,CI,1598242329
Olafsvik,64.89,-23.71,49.37,73,17,3.0,IS,1598242136
Yellowknife,62.46,-114.35,55.4,71,20,3.36,CA,1598242121
Huarmey,-10.07,-78.15,59.94,85,17,8.39,PE,1598242329
Cerrito,6.84,-72.69,52.0,87,99,3.02,CO,1598242329
Port Lincoln,-34.73,135.87,53.76,67,95,6.53,AU,1598242172
Laguna,38.42,-121.42,82.4,39,1,9.17,US,1598242130
Leningradskiy,69.38,178.42,44.62,87,99,10.29,RU,1598242123
Richards Bay,-28.78,32.04,58.95,80,0,3.65,ZA,1598242133
Yangi Marg`ilon,40.43,71.72,82.4,28,0,3.58,UZ,1598242135
Yulara,-25.24,130.99,82.4,15,0,12.75,AU,1598242132
Robertsport,6.75,-11.37,75.07,92,100,16.42,LR,1598242330
Cabo San Lucas,22.89,-109.91,86.0,66,13,1.99,MX,1598242144
Saint-Philippe,-21.36,55.77,70.0,52,39,8.05,RE,1598242145
Adjumani,3.38,31.79,63.86,97,58,0.54,UG,1598242330
Zyryanka,65.75,150.85,45.91,57,99,8.55,RU,1598242330
Melville,40.79,-73.42,75.99,94,75,6.93,US,1598242330
Carnarvon,-24.87,113.63,71.6,53,0,17.22,AU,1598242123
Pāthri,19.25,76.45,79.92,73,100,13.27,IN,1598242331
Santa Ana,33.75,-117.87,80.6,74,20,5.82,US,1598242331
Bambous Virieux,-20.34,57.76,72.0,73,75,13.87,MU,1598242128
Fairbanks,64.84,-147.72,62.6,72,75,23.04,US,1598241870
Ntungamo,-0.88,29.65,65.61,80,88,1.81,UG,1598242331
Ponta do Sol,32.67,-17.1,75.2,60,20,20.8,PT,1598242135
Bethel,41.37,-73.41,73.4,88,1,3.36,US,1598242161
Cape Town,-33.93,18.42,57.99,87,20,9.17,ZA,1598242045
Clyde River,70.47,-68.59,41.61,91,100,4.54,CA,1598242140
Abu Samrah,35.3,37.18,71.37,39,0,1.59,SY,1598242332
Torbay,47.67,-52.73,60.01,82,5,13.87,CA,1598242141
Provideniya,64.38,-173.3,53.6,76,75,8.95,RU,1598242136
Xai-Xai,-25.05,33.64,60.75,80,0,10.83,MZ,1598242333
Yarim,14.3,44.38,62.42,68,35,2.3,YE,1598242333
Berlevåg,70.86,29.09,55.4,82,75,11.41,NO,1598242333
Constantine,36.37,6.61,66.2,93,30,1.12,DZ,1598242333
Buin,-33.73,-70.75,52.0,66,75,8.05,CL,1598242329
Dingle,11.0,122.67,88.3,66,6,4.45,PH,1598242171
Dodge City,37.75,-100.02,77.0,57,1,11.41,US,1598242247
Flin Flon,54.77,-101.86,54.72,84,70,9.46,CA,1598242334
Hella,67.2,14.43,51.8,71,75,5.82,NO,1598242334
Kyra,49.58,111.98,65.52,60,43,4.0,RU,1598242334
Laela,-8.57,32.05,52.2,85,45,1.68,TZ,1598242334
Kasongo-Lunda,-6.47,16.82,70.54,86,76,1.05,CD,1598242334
Adrar,20.5,-10.07,91.11,32,0,14.07,MR,1598242334
Nouadhibou,20.93,-17.03,77.0,69,36,11.41,MR,1598242334
Upernavik,72.79,-56.15,43.56,82,100,1.72,GL,1598242120
Iquique,-20.22,-70.14,60.8,77,90,5.82,CL,1598242285
Lorengau,-2.02,147.27,75.85,87,100,6.67,PG,1598242166
Palestine,31.92,35.2,77.0,78,75,4.7,PS,1598242335
Purpe,64.48,76.69,58.46,76,68,10.49,RU,1598242335
Kenai,60.55,-151.26,62.6,72,40,17.22,US,1598242335
Uddevalla,58.35,11.94,55.4,76,4,5.82,SE,1598242336
Hervey Bay,-25.3,152.85,71.6,17,0,11.41,AU,1598242179
Panjāb,34.39,67.02,70.54,21,0,3.56,AF,1598242336
Nagato,34.38,131.2,90.0,74,20,9.17,JP,1598242336
Solnechnyy,50.72,136.63,68.56,69,94,3.18,RU,1598242336
Grenå,56.42,10.88,55.4,87,77,8.05,DK,1598242336
Bariloche,-41.15,-71.31,39.2,80,90,3.36,AR,1598242336
Tasiilaq,65.61,-37.64,33.8,100,4,6.93,GL,1598242336
Gēdo,9.02,37.45,51.98,100,96,1.81,ET,1598242336
Guilin,25.28,110.29,89.6,62,40,11.18,CN,1598242251
Iqaluit,63.75,-68.51,41.0,86,75,3.11,CA,1598242136
Okhotsk,59.38,143.3,55.92,58,94,8.46,RU,1598242166
Baijiantan,45.63,85.18,85.32,20,59,2.3,CN,1598242337
Sibolga,1.74,98.78,86.32,59,25,4.36,ID,1598242337
Kaeo,-35.1,173.78,57.0,3,63,5.99,NZ,1598242170
Ibrā’,22.69,58.53,81.39,65,78,4.9,OM,1598242337
Yamada,39.47,141.95,81.09,67,27,6.17,JP,1598242337
Hithadhoo,-0.6,73.08,82.42,78,98,10.51,MV,1598242132
Lavrentiya,65.58,-171.0,48.65,91,100,5.61,RU,1598242128
Tilichiki,60.47,166.1,53.13,58,84,13.13,RU,1598242128
Ebeltoft,56.19,10.68,55.4,87,56,8.05,DK,1598242338
Hūn,29.13,15.95,70.18,67,0,5.44,LY,1598242338
Shihezi,44.3,86.03,84.51,18,71,3.02,CN,1598242338
Novaya Lyalya,59.05,60.6,57.9,67,0,3.47,RU,1598242338
Rheda-Wiedenbrück,51.85,8.3,60.01,92,99,1.99,DE,1598242338
Santa Rosa,14.31,121.11,90.0,74,100,11.41,PH,1598242152
Livingston,55.9,-3.52,52.0,100,75,4.7,GB,1598242339
Alofi,-19.06,-169.92,78.8,74,75,17.22,NU,1598242149
Lashio,22.93,97.75,77.95,80,91,3.74,MM,1598242183
North Platte,41.12,-100.77,80.01,69,1,9.17,US,1598242339
Tommot,58.96,126.29,66.76,38,0,2.64,RU,1598242339
Hamilton,39.18,-84.53,73.4,94,20,3.11,US,1598242139
Sri Aman,1.24,111.46,86.0,74,40,2.24,MY,1598242339
Hilo,19.73,-155.09,82.4,69,75,9.17,US,1598242116
Buba,11.58,-15.0,75.04,88,99,1.95,GW,1598242339
Forsytheganj,52.63,29.73,62.91,97,100,4.03,BY,1598242339
Thompson,55.74,-97.86,53.6,100,90,9.17,CA,1598242131
George Town,5.41,100.34,89.6,74,20,2.24,MY,1598242269
Lebu,-37.62,-73.65,50.47,91,100,17.36,CL,1598242145
Paphos,34.77,32.42,71.6,49,0,8.05,CY,1598242340
High Level,58.52,-117.14,55.4,100,90,5.82,CA,1598242090
Natal,-5.79,-35.21,73.4,88,20,6.93,BR,1598242340
Golden,39.76,-105.22,80.6,24,20,11.41,US,1598242340
Matão,-21.6,-48.37,56.07,76,50,6.93,BR,1598242150
Cam Ranh,11.92,109.16,91.4,70,20,10.29,VN,1598242340
Constitución,-35.33,-72.42,50.58,83,100,14.47,CL,1598242146
Dakar,14.69,-17.44,82.4,88,40,6.93,SN,1598242080
Bridlington,54.08,-0.19,57.2,87,55,8.05,GB,1598242340
Mauguio,43.62,4.01,69.8,52,34,6.93,FR,1598242341
Teguise,29.06,-13.56,73.4,78,0,28.86,ES,1598242341
Katsuura,35.13,140.3,91.99,66,40,12.75,JP,1598242128
Auki,-8.77,160.7,83.44,75,70,2.28,SB,1598242341
Ostrovnoy,68.05,39.51,57.2,84,4,19.57,RU,1598242175
Balkanabat,39.51,54.37,74.37,41,81,9.31,TM,1598242152
Laas,46.62,10.7,53.6,93,5,5.82,IT,1598242167
Grants,35.15,-107.85,78.8,22,1,4.7,US,1598242341
Bagdarin,54.43,113.6,52.75,82,100,4.83,RU,1598242341
Rome,43.21,-75.46,71.6,73,1,5.82,US,1598242134
Bilibino,68.05,166.44,40.24,88,100,4.68,RU,1598242149
Chokurdakh,70.63,147.92,38.84,74,100,10.25,RU,1598242135
Kavieng,-2.57,150.8,76.6,88,100,4.16,PG,1598242159
Avarua,-21.21,-159.78,75.2,69,8,6.93,CK,1598242005
Dondo,-19.61,34.74,58.53,92,12,4.25,MZ,1598242342
Saldanha,-33.01,17.94,50.0,93,91,4.7,ZA,1598242137
Riyadh,24.69,46.72,84.2,18,3,6.93,SA,1598242342
Bytosh',53.82,34.09,55.4,82,40,6.71,RU,1598242343
Hobyo,5.35,48.53,76.51,75,93,22.03,SO,1598242343
Teahupoo,-17.83,-149.27,82.4,65,20,6.93,PF,1598242343
Saint-Augustin,51.23,-58.65,54.09,81,50,8.39,CA,1598242120
Oromocto,45.84,-66.48,69.8,72,90,2.24,CA,1598242343
Akhisar,38.92,27.84,66.15,76,0,5.79,TR,1598242343
Saskylakh,71.92,114.08,56.3,49,0,13.02,RU,1598242138
Labytnangi,66.66,66.42,53.15,80,88,3.15,RU,1598242343
Kharan,28.58,65.42,90.5,47,7,7.4,PK,1598242343
Tazovsky,67.47,78.7,51.89,96,100,8.75,RU,1598242343
Dikson,73.51,80.55,46.47,80,0,13.11,RU,1598242127
Namatanai,-3.67,152.43,75.81,88,100,8.57,PG,1598242190
Hofn,64.25,-15.21,48.15,85,100,8.21,IS,1598242344
Geraldton,-28.77,114.6,64.4,55,6,8.05,AU,1598242145
Tuatapere,-46.13,167.68,57.0,77,9,8.01,NZ,1598242134
Severo-Kuril'sk,50.68,156.12,54.28,85,52,5.1,RU,1598242143
Dhulian,24.68,87.97,89.98,61,17,5.21,IN,1598242344
Port Hardy,50.7,-127.42,60.8,72,75,6.93,CA,1598242128
Grand Gaube,-20.01,57.66,72.0,71,54,11.99,MU,1598242130
Darhan,49.49,105.92,66.07,51,0,3.76,MN,1598242344
São João da Barra,-21.64,-41.05,63.21,74,7,11.65,BR,1598242345
Rawson,-43.3,-65.1,51.96,47,100,1.7,AR,1598242132
Berkakit,56.58,124.77,60.01,54,100,5.28,RU,1598242345
Sigli,5.38,95.96,84.94,66,29,2.82,ID,1598242345
Singleton,-32.57,151.18,64.99,25,0,10.0,AU,1598242345
Rurrenabaque,-14.44,-67.53,63.07,76,0,1.81,BO,1598242345
Pangkalanbuun,-2.68,111.62,89.35,58,31,4.47,ID,1598242137
Rio Grande,-32.03,-52.1,57.0,93,0,4.0,BR,1598242062
Quelimane,-17.88,36.89,61.36,92,0,2.77,MZ,1598242128
Qasigiannguit,68.82,-51.19,37.4,74,0,2.24,GL,1598242346
Pyaozerskiy,65.83,31.17,54.55,89,9,10.85,RU,1598242346
Mehamn,71.04,27.85,55.4,82,75,11.41,NO,1598242167
Fuglebjerg,55.31,11.55,61.0,87,32,3.36,DK,1598242346
Rodrigues Alves,-7.74,-72.65,68.45,81,26,1.7,BR,1598242346
Makakilo City,21.35,-158.09,87.8,48,1,9.17,US,1598242346
Saint George,37.1,-113.58,78.8,54,75,6.93,US,1598242020
Rafaela,-31.25,-61.49,57.99,48,0,5.01,AR,1598242346
Buena Vista,43.42,-83.9,73.4,82,1,4.7,US,1598242347
Zhigansk,66.77,123.37,51.37,53,0,8.81,RU,1598242178
Brae,60.4,-1.35,48.2,87,89,3.36,GB,1598242347
Tegul'det,57.31,88.17,65.26,62,87,4.5,RU,1598242347
Pisco,-13.7,-76.22,62.01,87,90,10.29,PE,1598242123
Antalaha,-14.9,50.28,68.63,80,59,6.51,MG,1598242348
Zhangjiakou,40.81,114.88,76.37,53,0,6.46,CN,1598242176
Magadan,59.57,150.8,52.34,50,15,7.81,RU,1598242334
Umluj,25.02,37.27,84.13,44,0,6.69,SA,1598242348
Te Anau,-45.42,167.72,53.94,68,30,3.18,NZ,1598242348
Shelburne,44.08,-80.2,68.0,88,20,2.24,CA,1598242138
Porto-Novo,6.5,2.6,75.2,94,40,11.41,BJ,1598242189
Diamantino,-14.41,-56.45,72.45,49,0,2.53,BR,1598242134
Aksu,41.12,80.26,87.42,21,0,3.02,CN,1598242348
Spearfish,44.49,-103.86,69.8,56,1,6.93,US,1598242348
Copiapó,-27.37,-70.33,53.6,66,21,4.7,CL,1598242348
Eyl,7.98,49.82,78.94,56,78,23.67,SO,1598242141
Vohibinany,-17.35,49.03,62.26,87,100,2.15,MG,1598242146
Lahaina,20.88,-156.68,87.8,83,75,16.11,US,1598242349
Honningsvåg,70.98,25.97,53.6,87,75,18.34,NO,1598241946
Chui,-33.7,-53.46,53.76,90,0,11.43,UY,1598242131
Bhatkal,13.97,74.57,80.85,79,53,4.05,IN,1598242349
Talnakh,69.49,88.4,60.8,72,40,20.13,RU,1598242349
Grand Forks,47.93,-97.03,66.99,93,40,6.93,US,1598242349
Wanning,18.8,110.4,89.38,63,84,12.64,CN,1598242349
Pyapon,16.28,95.68,86.13,71,82,9.91,MM,1598242350
Wawa,9.9,4.42,72.27,89,100,5.19,NG,1598242350
Westport,41.14,-73.36,75.2,88,1,4.07,US,1598242350
La Ronge,55.1,-105.28,60.8,72,75,5.82,CA,1598242350
Lake Havasu City,34.48,-114.32,104.0,19,1,5.82,US,1598242350
St. George's,12.06,-61.75,82.4,83,20,5.82,GD,1598242350
Port Blair,11.67,92.75,84.97,74,70,11.12,IN,1598242141
Klaksvík,62.23,-6.59,44.6,93,97,1.12,FO,1598242160
Sitka,57.05,-135.33,57.2,87,90,4.12,US,1598242142
Apatity,67.56,33.4,53.92,93,76,6.58,RU,1598242351
Comodoro Rivadavia,-45.87,-67.5,42.8,81,75,1.12,AR,1598242092
Vallenar,-28.57,-70.76,48.67,82,28,4.29,CL,1598242351
Tautira,-17.73,-149.15,82.4,65,20,6.93,PF,1598242158
Sittwe,20.15,92.9,81.09,86,100,13.13,MM,1598242351
Acapulco de Juárez,16.86,-99.89,79.56,81,64,5.64,MX,1598242139
Lima,-12.04,-77.03,62.6,67,90,10.29,PE,1598242148
Xining,36.62,101.77,67.68,46,15,1.1,CN,1598242152
Harnai,30.1,67.94,87.48,46,0,4.65,PK,1598242351
The Valley,18.22,-63.06,82.4,78,20,12.75,AI,1598242125
Portland,45.52,-122.68,75.0,63,0,1.01,US,1598242264
Gouyave,12.16,-61.73,82.4,83,20,5.82,GD,1598242352
Beyneu,45.32,55.2,68.9,46,100,7.63,KZ,1598242352
Cidreira,-30.18,-50.21,60.33,84,0,14.2,BR,1598242127
Hong Kong,22.29,114.16,93.0,62,0,5.99,HK,1598242067
Luga,58.74,29.85,57.56,92,99,7.05,RU,1598242352
Vostok,46.49,135.88,69.55,65,100,3.24,RU,1598242153
