City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bengkulu,-3.8,102.27,87.28,57,33,7.9,ID,1598242352
Ol'ga,43.74,135.29,74.16,72,95,9.1,RU,1598242135
Cauquenes,-35.97,-72.32,45.93,85,100,6.96,CL,1598242353
Hearst,49.68,-83.67,57.02,67,70,6.26,CA,1598242353
Poum,-20.23,164.02,72.28,77,51,18.92,NC,1598242125
Giżycko,54.04,21.76,56.12,86,0,6.51,PL,1598242353
Ancud,-41.87,-73.82,39.0,100,90,11.41,CL,1598241937
Faanui,-16.48,-151.75,77.22,80,14,20.85,PF,1598242138
Roald,62.58,6.13,48.2,81,86,9.17,NO,1598242353
Plettenberg Bay,-34.05,23.37,57.78,84,100,4.61,ZA,1598242146
Hailar,49.2,119.7,74.07,54,22,8.88,CN,1598242143
Andros Town,24.7,-77.77,84.2,79,40,18.34,BS,1598242353
Juneau,58.3,-134.42,57.0,93,90,6.93,US,1598242353
Esmeraldas,-19.76,-44.31,57.2,76,28,11.41,BR,1598242354
Saint-Michel-des-Saints,46.68,-73.92,64.99,8,38,0.85,CA,1598242115
Yangambi,0.81,24.43,68.29,97,100,1.28,CD,1598242354
Merauke,-8.47,140.33,82.11,64,50,17.13,ID,1598242354
Tiksi,71.69,128.87,41.02,70,84,13.27,RU,1598242171
Camargo,27.67,-105.17,78.17,31,25,9.73,MX,1598242354
Izhma,65.01,53.91,57.43,87,100,5.59,RU,1598242354
Newport,51.59,-3.0,61.0,92,99,7.81,GB,1598242139
Shetpe,44.17,52.12,68.88,46,78,11.83,KZ,1598242354
Emba,48.83,58.14,66.38,52,92,12.57,KZ,1598242355
Insar,53.87,44.37,58.68,72,59,4.97,RU,1598242065
Phrae,18.08,100.0,82.4,74,20,8.05,TH,1598242355
Vila Velha,-20.33,-40.29,66.2,77,75,8.05,BR,1598242169
Novopokrovka,49.84,36.55,57.2,82,0,3.76,UA,1598242355
Saint-François,46.42,3.91,57.2,82,60,3.04,FR,1598242355
Port Elizabeth,-33.92,25.57,57.2,93,40,5.82,ZA,1598242131
Zaterechnyy,44.79,45.21,69.93,40,97,3.71,RU,1598242355
Zlynka,52.43,31.74,66.2,88,90,4.47,RU,1598242355
Khunti,23.08,85.28,77.0,94,75,2.24,IN,1598242356
Nikolskoye,59.7,30.79,60.01,87,67,4.47,RU,1598242128
Manakara,-22.13,48.02,64.2,87,7,5.97,MG,1598242356
Birao,10.28,22.79,69.71,95,100,4.59,CF,1598242356
Broken Hill,-31.95,141.43,53.6,46,90,5.82,AU,1598242144
Bundaberg,-24.85,152.35,71.6,17,0,11.41,AU,1598242356
Gladstone,-23.85,151.25,71.6,30,0,10.29,AU,1598242356
Alyangula,-13.85,136.42,82.4,42,7,17.22,AU,1598242357
Louth,53.37,0.0,55.4,93,8,11.41,GB,1598242357
Shimanovsk,52.0,127.7,70.0,79,94,6.67,RU,1598242357
Hendrina,-26.16,29.72,39.99,85,0,3.56,ZA,1598242357
Alta Floresta,-9.88,-56.09,73.99,41,19,2.55,BR,1598242169
Lodja,-3.48,23.43,69.71,92,100,1.79,CD,1598242357
Burns Lake,54.23,-125.75,51.37,70,100,1.83,CA,1598242358
Hambantota,6.12,81.12,86.0,74,20,6.93,LK,1598242358
Ladário,-19.0,-57.6,69.39,58,0,2.42,BR,1598242358
Quatre Cocos,-20.21,57.76,72.0,73,75,13.87,MU,1598242176
Stralsund,54.31,13.08,57.0,90,18,11.54,DE,1598242358
Baghdad,33.34,44.4,73.4,49,0,2.24,IQ,1598242240
Ilulissat,69.22,-51.1,39.2,80,0,4.41,GL,1598242132
Christchurch,-43.53,172.63,59.0,72,100,8.05,NZ,1598241934
Atar,20.52,-13.05,86.16,55,21,9.78,MR,1598242136
Cayenne,4.93,-52.33,73.4,100,40,10.83,GF,1598242126
Quaraí,-30.39,-56.45,53.65,89,0,11.81,BR,1598242359
Kyabé,9.45,18.94,70.79,97,100,3.65,TD,1598242359
Kununurra,-15.77,128.73,95.0,12,0,9.17,AU,1598242359
Mandiana,10.63,-8.68,70.45,95,72,5.01,GN,1598242359
Murillo,4.87,-75.17,47.25,100,91,1.59,CO,1598242359
Sisimiut,66.94,-53.67,44.1,88,53,4.38,GL,1598242187
Guerrero Negro,27.98,-114.06,74.75,72,0,17.98,MX,1598242155
San Matías,-16.37,-58.4,71.19,53,0,2.42,BO,1598242359
Lüderitz,-26.65,15.16,54.81,75,0,11.52,NA,1598242133
Bon Accord,53.83,-113.42,60.01,71,1,2.24,CA,1598242360
Arcos,-20.28,-45.54,56.16,74,0,8.43,BR,1598242360
Vila,42.03,-8.16,57.99,89,0,4.52,PT,1598242360
Zhigalovo,54.81,105.16,66.43,63,100,3.71,RU,1598242325
Meulaboh,4.14,96.13,85.82,68,9,5.66,ID,1598242152
Enköping,59.64,17.08,57.2,87,0,6.93,SE,1598242360
Kaitangata,-46.28,169.85,51.01,85,60,8.01,NZ,1598242124
Luyang,27.62,110.1,91.26,55,0,9.6,CN,1598242360
Palu,-0.89,119.87,91.58,48,48,3.29,ID,1598242361
Chai Badan,15.2,101.13,85.48,70,99,8.77,TH,1598242361
Kieta,-6.22,155.63,82.04,71,100,4.68,PG,1598242361
Sioux Lookout,50.1,-91.92,68.0,88,20,3.36,CA,1598242133
Raudeberg,61.99,5.14,46.99,84,99,16.13,NO,1598242164
Lubumbashi,-11.66,27.48,51.44,87,31,4.38,CD,1598242361
Morgan City,29.7,-91.21,78.8,94,1,3.36,US,1598242362
Saint Anthony,45.02,-93.22,77.0,73,1,2.68,US,1598242362
Pangai,-19.8,-174.35,80.6,78,20,12.75,TO,1598242362
Barcelos,41.54,-8.62,68.0,100,0,3.27,PT,1598242181
Esperance,-33.87,121.9,59.0,87,90,11.41,AU,1598242168
Vanimo,-2.67,141.3,78.28,86,98,7.99,PG,1598242362
Vysotsk,60.63,28.57,60.01,100,75,5.82,RU,1598242362
Touros,-5.2,-35.46,69.8,100,20,3.36,BR,1598242144
Presidencia Roque Sáenz Peña,-26.79,-60.44,66.25,48,99,7.63,AR,1598242362
Mendi,-6.18,143.65,64.45,76,75,5.32,PG,1598242363
Marinette,45.1,-87.63,71.6,88,4,6.87,US,1598242363
Mahébourg,-20.41,57.7,71.6,73,75,13.87,MU,1598242144
Belaya Gora,68.53,146.42,41.36,65,100,7.61,RU,1598242125
Guachucal,0.96,-77.73,42.44,92,88,4.63,CO,1598242363
Arrondissement de Privas,44.58,4.5,66.99,53,54,5.01,FR,1598242363
Kumul,42.8,93.45,87.55,18,17,3.13,CN,1598242175
Mar del Plata,-38.0,-57.56,51.01,87,34,18.34,AR,1598242123
Souillac,-20.52,57.52,71.6,73,75,13.87,MU,1598242156
Severnoye,56.35,78.36,60.04,76,80,6.46,RU,1598242363
Vršac,45.12,21.3,64.99,93,27,2.24,RS,1598242363
Stornoway,58.21,-6.39,46.99,93,66,5.82,GB,1598242364
Tsimmerbude,54.67,20.13,59.0,93,1,6.71,RU,1598242364
Otradnoye,59.78,30.82,60.01,87,65,4.47,RU,1598242364
Lipari,38.47,14.95,78.01,81,42,3.47,IT,1598242365
Padang,-0.95,100.35,86.85,61,50,3.53,ID,1598242144
Zyryanovsk,49.74,84.27,70.23,40,78,1.34,KZ,1598242136
Bandarbeyla,9.49,50.81,78.35,65,46,30.22,SO,1598242147
Llanes,43.42,-4.75,64.99,98,37,1.99,ES,1598242365
Sistranda,63.73,8.83,48.2,81,75,18.34,NO,1598242163
Morant Bay,17.88,-76.41,84.2,83,75,23.04,JM,1598242132
Urengoy,65.97,78.37,56.01,92,100,4.99,RU,1598242367
Yambio,4.57,28.4,64.67,97,100,2.48,SS,1598242367
Praia da Vitória,38.73,-27.07,71.6,94,20,8.37,PT,1598242134
Kattivākkam,13.22,80.32,84.2,70,75,2.24,IN,1598242368
Tessalit,20.2,1.01,86.11,47,100,9.48,ML,1598241938
Pirot,43.15,22.59,71.6,78,3,6.93,RS,1598242368
Chapais,49.78,-74.85,50.0,87,1,4.7,CA,1598242151
Jishou,28.32,109.72,89.67,62,9,6.55,CN,1598242368
Garoowe,8.41,48.48,74.79,63,83,24.83,SO,1598241907
Tambopata,-12.73,-69.18,65.7,72,0,0.2,PE,1598242368
Andenes,69.31,16.12,50.0,87,75,4.7,NO,1598242168
Ust'-Kut,56.79,105.77,72.21,43,97,3.78,RU,1598242368
Tura,25.52,90.22,82.63,85,63,3.11,IN,1598242150
Dongsheng,39.82,109.98,76.23,32,0,9.51,CN,1598242369
Acton,51.51,-0.28,60.01,87,97,8.05,GB,1598242369
Hirara,24.8,125.28,84.2,83,75,14.99,JP,1598242128
Halifax,44.65,-63.57,66.0,71,70,7.0,CA,1598242272
Kupang,-10.17,123.58,91.4,31,20,16.11,ID,1598242094
Faro,37.02,-7.93,77.0,44,0,4.7,PT,1598242197
Todos Santos,23.45,-110.22,77.0,88,0,1.61,MX,1598242369
Dovers,12.88,-61.18,82.6,78,100,15.66,VC,1598242143
Vila Franca do Campo,37.72,-25.43,69.8,94,20,3.42,PT,1598242154
Pucallpa,-8.38,-74.55,69.15,72,11,0.65,PE,1598242263
Balikpapan,-1.27,116.83,82.4,88,20,5.82,ID,1598242370
Angoche,-16.23,39.91,68.38,82,97,4.99,MZ,1598242176
Biak,-0.91,122.88,83.77,63,57,7.16,ID,1598242122
Adwa,14.16,38.9,62.98,85,95,3.85,ET,1598242171
Bluffton,32.24,-80.86,82.99,88,83,8.39,US,1598242174
Shizunai-furukawachō,42.33,142.37,74.53,73,0,8.32,JP,1598242217
Srandakan,-7.94,110.25,81.68,67,73,14.9,ID,1598242370
Fuerte Olimpo,-21.04,-57.87,65.52,72,0,5.64,PY,1598242370
Mahajanga,-15.72,46.32,69.8,68,68,4.7,MG,1598242371
Bambanglipuro,-7.95,110.28,81.93,66,71,14.94,ID,1598242371
Witu,-2.39,40.44,74.43,81,42,9.08,KE,1598242371
Mongoumba,3.64,18.59,70.7,95,100,2.75,CF,1598242371
Nabire,-3.37,135.48,82.6,74,86,8.86,ID,1598242125
Lodwar,3.12,35.6,77.58,59,69,17.94,KE,1598242371
Puerto Peñasco,31.32,-113.53,91.0,74,0,4.0,MX,1598242186
Oddur,4.12,43.89,70.36,72,29,19.48,SO,1598242371
Kruisfontein,-34.0,24.73,54.0,92,100,6.13,ZA,1598242371
Alegrete,-29.78,-55.79,54.37,89,0,11.12,BR,1598242371
Izumo,35.37,132.77,86.0,62,20,5.82,JP,1598242372
Neuquén,-38.95,-68.06,53.6,46,79,2.24,AR,1598242165
Pilar,-9.6,-35.96,68.0,94,52,3.36,BR,1598242372
Dudinka,69.41,86.18,60.8,72,40,20.13,RU,1598242372
Korla,41.76,86.15,88.3,21,19,4.85,CN,1598242129
Champerico,14.3,-91.92,79.09,86,100,4.88,GT,1598242372
Cravo Norte,6.3,-70.2,74.86,91,49,4.47,CO,1598242372
Udachny,66.42,112.4,59.0,38,0,4.47,RU,1598242373
Port Macquarie,-31.43,152.92,68.0,34,0,1.01,AU,1598242318
Krasnozatonskiy,61.68,50.98,57.2,100,75,4.47,RU,1598242373
San Policarpo,12.18,125.51,86.2,64,18,8.21,PH,1598242373
Derzhavīnsk,51.1,66.32,61.54,66,100,5.82,KZ,1598242146
Ahipara,-35.17,173.17,57.58,78,85,16.55,NZ,1598242140
Khatanga,71.97,102.5,67.51,46,96,14.5,RU,1598242133
Jiwani,25.05,61.74,81.97,79,97,7.11,PK,1598242374
Buraidah,26.33,43.98,80.6,34,0,4.7,SA,1598242166
Kuusamo,65.97,29.18,55.4,87,75,8.05,FI,1598242374
Dryden,49.78,-92.75,69.8,88,40,2.24,CA,1598242374
Pacifica,37.61,-122.49,66.99,77,75,18.34,US,1598242325
Vredendal,-31.67,18.5,47.16,92,50,0.98,ZA,1598242374
Vung Tau,10.35,107.08,84.9,68,86,5.53,VN,1598242374
Puerto Colombia,10.99,-74.95,78.8,88,20,3.36,CO,1598242375
Salta,-24.79,-65.41,41.0,65,0,2.24,AR,1598242375
Kenora,49.82,-94.43,69.8,88,75,4.7,CA,1598242375
Waitati,-45.75,170.57,53.01,95,98,7.0,NZ,1598242135
Palatka,29.65,-81.64,81.0,99,100,4.88,US,1598242205
Taoudenni,22.68,-3.98,92.44,12,0,0.16,ML,1598242134
Itupiranga,-5.13,-49.33,77.0,94,13,2.68,BR,1598242375
Mbandaka,0.05,18.26,67.73,97,93,0.58,CD,1598242375
Yebaishou,41.4,119.64,71.04,73,100,5.14,CN,1598242160
Codrington,-38.27,141.97,51.57,59,33,10.74,AU,1598242186
São Filipe,14.9,-24.5,79.32,85,85,14.81,CV,1598242376
Panna,24.72,80.2,80.67,80,55,13.22,IN,1598242376
Bratsk,56.13,101.61,66.2,59,20,4.47,RU,1598242376
Ouadda,8.08,22.4,65.14,96,87,2.26,CF,1598242154
Sakakah,29.97,40.21,78.8,21,0,4.7,SA,1598242172
Moree,-29.47,149.85,59.0,33,0,12.75,AU,1598242376
Pringsewu,-5.36,104.97,84.69,64,69,4.41,ID,1598242376
Sabang,5.89,95.32,83.62,71,49,9.4,ID,1598242377
Walvis Bay,-22.96,14.51,53.01,100,0,6.93,NA,1598242331
Oyem,1.6,11.58,66.76,98,100,2.66,GA,1598242377
Ayan,56.45,138.17,57.42,70,11,4.79,RU,1598242377
Tambovka,50.1,128.05,69.8,83,40,8.95,RU,1598242377
Progreso,21.28,-89.67,77.0,94,90,4.14,MX,1598242377
Laem Sing,12.48,102.07,86.0,74,20,11.41,TH,1598242377
Opuwo,-18.06,13.84,53.71,55,0,2.77,NA,1598242378
Senneterre,48.38,-77.23,59.0,87,1,2.24,CA,1598242378
Colonial Heights,37.27,-77.41,75.99,88,1,7.11,US,1598242378
Fort Nelson,58.81,-122.7,57.2,87,75,3.36,CA,1598242378
Fortuna,40.6,-124.16,57.99,100,90,5.82,US,1598242378
Colac,-38.33,143.58,54.0,84,70,7.52,AU,1598242378
Linqiong,30.42,103.46,78.8,69,100,11.18,CN,1598242378
Turan,16.07,108.22,93.2,56,40,3.36,VN,1598242378
Pacific Grove,36.62,-121.92,64.0,93,37,1.01,US,1598242126
Havøysund,71.0,24.66,53.6,87,75,18.34,NO,1598242379
Bell Ville,-32.63,-62.69,52.0,57,0,1.99,AR,1598242379
Kholtoson,50.3,103.31,66.02,41,22,4.79,RU,1598242379
Fort Frances,48.6,-93.4,69.8,88,75,3.36,CA,1598242379
Taywarah,33.35,64.42,73.94,19,0,1.86,AF,1598242379
Ossora,59.24,163.07,53.1,66,90,4.23,RU,1598242379
Khipro,25.83,69.38,91.8,61,91,14.52,PK,1598242379
Akçaabat,41.02,39.57,69.8,56,20,4.7,TR,1598242379
Bhubaneswar,20.23,85.83,80.6,100,75,5.82,IN,1598242275
Jacareacanga,-6.22,-57.75,73.54,47,0,2.3,BR,1598242172
Batagay-Alyta,67.8,130.41,40.39,69,98,11.45,RU,1598242380
‘Ewa Beach,21.32,-158.01,87.8,48,1,9.17,US,1598242126
Ambilobe,-13.2,49.05,68.99,66,59,3.24,MG,1598242166
Arica,-18.48,-70.3,58.86,78,99,2.28,CL,1598242380
Plouzané,48.38,-4.62,60.8,93,90,2.24,FR,1598242380
Soto la Marina,23.77,-98.22,75.99,92,2,1.88,MX,1598242155
Keuruu,62.27,24.7,57.2,93,75,8.05,FI,1598242380
Jimeta,9.28,12.47,71.17,92,100,1.63,NG,1598242380
Kumluca,36.37,30.29,82.71,41,0,4.43,TR,1598242381
Ponta Delgada,37.73,-25.67,69.8,94,20,4.47,PT,1598242120
Avera,33.19,-82.53,75.2,86,40,4.7,US,1598242381
Terra Santa,-2.1,-56.49,77.27,64,0,2.33,BR,1598242381
Bend,44.06,-121.32,77.0,31,1,5.82,US,1598242381
Labuhan,-6.88,112.21,88.2,48,13,15.03,ID,1598242182
Belyy Yar,53.6,91.39,64.4,63,85,2.24,RU,1598242381
Kaoma,-14.78,24.8,52.5,69,12,5.23,ZM,1598242381
Chumikan,54.72,135.31,59.76,57,97,13.73,RU,1598242382
Bull Savanna,17.89,-77.59,79.21,87,100,9.57,JM,1598242382
Price,39.6,-110.81,80.6,22,1,6.93,US,1598242201
Port Augusta,-32.5,137.77,57.99,62,90,9.17,AU,1598242149
Abhā,18.22,42.51,71.6,52,63,4.7,SA,1598242382
Lishui,28.46,119.91,98.62,43,0,2.44,CN,1598242382
Nioro,13.35,-15.75,74.41,87,100,2.13,GM,1598242382
Gaya,24.78,85.0,82.4,88,40,3.36,IN,1598242382
Santarém,-2.44,-54.71,73.4,100,20,2.35,BR,1598242382
Marabu,4.41,114.01,87.8,70,40,4.7,MY,1598242346
Soyo,-6.13,12.37,72.7,90,70,5.53,AO,1598242134
Oodweyne,9.41,45.06,70.75,68,46,20.83,SO,1598242383
Greifswald,54.1,13.38,57.0,90,11,12.19,DE,1598242383
Lata,40.16,-8.33,64.0,97,7,2.82,PT,1598242123
Gariāband,20.64,82.06,82.4,83,40,11.41,IN,1598242383
Lindi,-10.0,39.72,69.8,94,75,4.36,TZ,1598242383
Megion,61.03,76.11,55.4,93,75,6.71,RU,1598242383
Changli,39.7,119.15,69.06,94,100,8.9,CN,1598242383
Sørland,67.67,12.69,50.0,76,40,9.17,NO,1598242144
Jos,9.92,8.9,62.08,96,97,7.34,NG,1598242384
Jizan,17.33,42.67,89.6,75,40,5.82,SA,1598242384
Luanda,-8.84,13.23,69.8,94,75,3.36,AO,1598241885
Bac Lieu,9.29,105.72,88.36,62,50,7.11,VN,1598242384
Gossaigaon,26.45,89.99,88.93,69,53,2.84,IN,1598242384
Waingapu,-9.66,120.26,87.73,40,1,15.79,ID,1598242384
Krasnozerskoye,53.98,79.24,62.85,71,0,7.78,RU,1598242384
Blagoyevo,63.37,47.92,59.85,90,100,6.8,RU,1598242385
Nazareno Etla,17.18,-96.82,63.48,83,90,2.91,MX,1598242385
Nizhnevartovsk,60.93,76.55,55.4,93,75,6.71,RU,1598242245
Neosho,36.87,-94.37,73.99,84,0,3.58,US,1598242385
Nishihara,26.18,127.76,82.4,94,90,29.89,JP,1598242162
Nova Olímpia,-14.8,-57.29,72.14,50,0,2.21,BR,1598242156
Saint-Pierre,-21.34,55.48,70.0,52,18,8.05,RE,1598242162
Bichena,10.45,38.2,54.14,94,100,1.86,ET,1598242385
Tocopilla,-22.09,-70.2,58.33,63,38,2.64,CL,1598242316
Njombe,-9.33,34.77,53.08,92,90,7.05,TZ,1598242385
Tual,-5.67,132.75,78.69,79,9,18.81,ID,1598242130
La Asuncion,11.03,-63.86,80.6,78,91,4.7,VE,1598242169
Toumodi,6.56,-5.02,73.4,94,90,6.93,CI,1598242386
Najrān,17.49,44.13,80.6,26,100,2.24,SA,1598242143
Voznesen'ye,61.01,35.48,60.89,90,100,8.86,RU,1598242386
Reconquista,-29.15,-59.65,60.76,65,15,11.43,AR,1598242386
Oussouye,12.48,-16.55,80.6,94,20,2.24,SN,1598242386
North Bend,43.41,-124.22,62.01,87,40,12.75,US,1598242160
Smithers,54.78,-127.17,57.2,76,75,4.7,CA,1598242160
Veinticinco de Mayo,-35.43,-60.17,52.0,70,0,4.0,AR,1598242386
Chirongui,-12.93,45.15,75.2,78,40,12.75,YT,1598242386
Verkhnyaya Inta,65.98,60.31,53.94,58,0,2.75,RU,1598242387
Santa Fe,-31.63,-60.7,62.01,62,0,10.0,AR,1598242121
Cortez,37.35,-108.59,73.4,35,1,4.7,US,1598242387
Khovd,48.01,91.64,67.03,31,100,1.48,MN,1598242147
Raja,8.46,25.68,67.71,96,100,4.9,SS,1598242150
Bonfim,3.08,-59.95,75.38,84,82,3.27,BR,1598242387
Tucumã,-0.18,-50.05,77.38,88,70,7.85,BR,1598242387
Kirovskiy,45.09,133.51,77.83,75,100,5.35,RU,1598242387
Koungheul,13.98,-14.8,75.96,87,100,3.27,SN,1598242387
Grand-Lahou,5.14,-5.02,73.36,90,33,7.61,CI,1598242387
San Rafael,-34.62,-68.33,51.94,38,0,2.86,AR,1598242383
Assiut,27.18,31.18,75.2,57,0,9.17,EG,1598242388
Zhezkazgan,47.8,67.71,66.2,55,75,17.9,KZ,1598242388
Mount Isa,-20.73,139.5,78.8,12,0,11.41,AU,1598242120
